District Name,County,Student Enrollment,White Students,White Teachers,District On-Time Graduation,Administrators,Teacher Experience,Counselors/Psychologists,Licensed Librarians,Teachers,Black/African American On-Time Graduation,Hispanic/Latino On-Time Graduation,White On-Time Graduation,Economically Disadvantaged On-Time Graduation,Students with Disabilities On-Time Graduation,librarian_student_ratio,counselor_student_ratio,teacher_student_ratio,administrator_student_ratio,Students_of_Color,Teachers_of_Color
Eugene SD 4J,Lane,17310,69,84,78.0,64,81,54,4,835,59.0,71.0,79.0,67.0,54.0,0.00023108030040439053,0.003119584055459272,0.04823801270941652,0.0036972848064702486,31,16
Springfield SD 19,Lane,10571,68,88,72.0,41,81,20,2,535,,68.0,74.0,66.0,49.0,0.00018919685933213508,0.0018919685933213508,0.050610159871346136,0.0038785356163087694,32,12
Fern Ridge SD 28J,Lane,1511,86,93,61.0,9,85,2,0,75,,,61.0,53.0,35.0,0.0,0.0013236267372600927,0.04963600264725347,0.005956320317670417,14,7
Mapleton SD 32,Lane,158,79,100,72.0,2,64,0,1,14,,,64.0,72.0,,0.006329113924050633,0.0,0.08860759493670886,0.012658227848101266,21,0
Creswell SD 40,Lane,1288,77,93,87.0,6,85,3,0,63,,95.0,86.0,78.0,67.0,0.0,0.002329192546583851,0.04891304347826087,0.004658385093167702,23,7
South Lane SD 45J3,Lane,2804,82,91,75.0,18,78,7,0,144,,58.0,79.0,73.0,62.0,0.0,0.0024964336661911554,0.05135520684736091,0.006419400855920114,18,9
Bethel SD 52,Lane,5548,64,88,76.0,20,80,15,0,265,,71.0,76.0,71.0,54.0,0.0,0.0027036770007209804,0.04776496034607065,0.003604902667627974,36,12
Crow-Applegate-Lorane SD 66,Lane,259,85,100,95.0,2,87,0,0,19,,,95.0,95.0,,0.0,0.0,0.07335907335907337,0.007722007722007722,15,0
McKenzie SD 68,Lane,226,75,95,81.0,2,59,0,0,16,,,77.0,81.0,,0.0,0.0,0.07079646017699115,0.008849557522123894,25,5
Junction City SD 69,Lane,1717,80,89,85.0,8,80,7,0,92,,79.0,86.0,76.0,72.0,0.0,0.004076878276062901,0.05358182877111241,0.004659289458357601,20,11
Lowell SD 71,Lane,857,82,96,94.0,7,70,1,0,39,,,95.0,89.0,,0.0,0.0011668611435239206,0.045507584597432905,0.008168028004667444,18,4
Oakridge SD 76,Lane,566,86,90,61.0,3,72,2,0,35,,,61.0,54.0,,0.0,0.0035335689045936395,0.061837455830388695,0.00530035335689046,14,10
Marcola SD 79J,Lane,649,80,100,64.0,3,89,1,0,17,,,70.0,55.0,,0.0,0.0015408320493066256,0.026194144838212634,0.004622496147919877,20,0
Blachly SD 90,Lane,228,87,91,85.0,2,88,1,0,17,,,90.0,,,0.0,0.0043859649122807015,0.07456140350877193,0.008771929824561403,13,9
Siuslaw SD 97J,Lane,1356,78,93,79.0,8,70,5,0,83,,67.0,78.0,74.0,80.0,0.0,0.003687315634218289,0.0612094395280236,0.0058997050147492625,22,7
Lincoln County SD,Lincoln,5631,62,91,76.0,29,70,17,1,292,,80.0,75.0,78.0,67.0,0.0001775883502042266,0.003019001953471852,0.05185579825963417,0.005150062155922571,38,9
Harrisburg SD 7J,Linn,813,81,81,84.0,3,51,3,0,51,,,84.0,85.0,75.0,0.0,0.0036900369003690036,0.06273062730627306,0.0036900369003690036,19,19
Greater Albany Public SD 8J,Linn,9441,70,92,88.0,33,78,20,2,471,,82.0,88.0,83.0,79.0,0.00021184196589344348,0.002118419658934435,0.04988878296790594,0.0034953924372418178,30,8
Lebanon Community SD 9,Linn,4230,80,95,78.0,17,72,13,0,224,,82.0,77.0,73.0,73.0,0.0,0.0030732860520094564,0.052955082742316785,0.004018912529550827,20,5
Sweet Home SD 55,Linn,2323,86,94,85.0,12,73,8,0,123,,79.0,85.0,81.0,65.0,0.0,0.0034438226431338786,0.052948773138183386,0.005165733964700818,14,6
Scio SD 95,Linn,863,85,95,69.0,6,84,3,1,75,,58.0,69.0,77.0,,0.0011587485515643105,0.0034762456546929316,0.08690614136732329,0.006952491309385863,15,5
Santiam Canyon SD 129J,Linn,4453,72,91,59.0,12,87,9,0,198,,51.0,60.0,53.0,44.0,0.0,0.0020211093644733886,0.04446440601841455,0.002694812485964518,28,9
